source_id,ra,dec,dist_pc,teff,logg,mass,atmosphere,pwd,Gmag,bp_rp,Jmag,Hmag,Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,W4mag,sed_anchor,chi_W1,chi_W2,chi_color,w1_w2_obs,W1_excess_jy,W2_excess_jy,t_ring_k,t_ring_lo_k,t_ring_hi_k,tau_ring,tau_lo,tau_hi,ring_fit_chi2,n_excess_bands,ring_radius_au,l_wd_w,shape_class,registration_arcsec,chance_superposition_p,gate_reason,verdict,ring_candidate,f_min_300K_W2,f_min_500K_W2,f_min_700K_W2
4917888947222463744,25.02881077235,-48.7511906522,320.6361421059382,12440.21,8.099901,0.666548,H,0.997342,19.3458,-0.039100000000001245,,,,9.714,0.019,9.688,0.021,9.32,,gaia,57.137167402834244,51.695654124060106,0.1843052832394719,0.026000023,0.04027772267919217,0.022894936987612073,3150.0,3000.0,3000.0,225.68496854311957,,,36.92208154977652,3.0,0.0004370252261456768,1.1994651760323687e+24,companion,2.825092074229857,2.262465563951377e-05,wise_quality,rejected,False,0.937173881199813,0.11176980118631641,0.07127038673462625
4268404679922627712,285.67517490355,2.11526092007,213.06515532449825,10317.07,7.864445,0.504641,He,0.961205,18.7548,0.22819999999999752,11.629,9.524,8.349,7.424,0.025,6.942,0.019,6.209,5.5,nir,42.270526147898565,56.14687960478937,7.200758395469606,0.48199987,0.3234010599714568,0.2823694746244809,1415.5069109545523,1393.4442005922713,1432.1337208416119,0.4880183064242552,0.4752986498517424,0.5062241510160849,65.08592838930235,4.0,0.0016984959203353816,7.387702673973277e+23,warm_ambiguous,2.3182100906166028,1.5739605696563075e-06,wise_quality,rejected,False,0.6718902279365649,0.08013138084829681,0.05109604241952354
5885692447932483072,236.70145862979,-53.53343738477,112.40375428539313,4733.87,7.60997,0.390152,H,0.957627,19.8663,1.2018000000000022,13.77,11.127,9.953,9.253,0.023,9.253,0.019,8.725,7.219,nir,45.3764988246496,54.63714642358159,-1.5958959005753335,0.0,0.05932506855945802,0.03279999522295818,3150.0,3000.0,3000.0,9.056292852333502,7.986465524052552,8.19096582382055,64.27111342469561,4.0,8.51040918128169e-05,4.548576614889046e+22,companion,2.3529030286965242,1.1792361792273276e-05,unresolved_companion,rejected,False,3.037169225963883,0.36222072271218725,0.23097125267280083
2199493713389700864,332.69245804639,58.22574245898,249.18392265331042,12034.87,8.716247,1.054688,H,0.993655,20.0117,0.10210000000000008,,,,11.717,0.02,11.704,0.021,,,gaia,54.265118403383916,51.68119648265382,0.05658475654669037,0.012999535,0.006364198947486631,0.0035745232701645344,3150.0,3000.0,3000.0,73.15785117712409,,,37.32271055545698,2.0,0.00025305048692302745,4.021508452645462e+23,companion,1.5471421673362726,2.797396357845372e-05,wise_quality,rejected,False,1.6882389729394083,0.20134378277684586,0.1283875350301257
4773988266993950208,71.79159607961,-59.13727033712,158.04529578177105,8041.07,7.95126,0.566241,H,0.987821,18.8652,0.36019999999999897,,,,11.123,0.021,11.171,0.021,10.958,8.224,gaia,51.63356343587578,51.62803639336343,-0.7167359848504881,-0.047999382,0.01098877200112283,0.005834146543336668,3150.0,3000.0,3000.0,65.09570194608884,,,131.20970284321447,4.0,0.00019970282565058754,2.5046269594683078e+23,companion,2.950703708076858,0.0001493222164522523,wise_quality,rejected,False,1.0904429961613995,0.1300490755567539,0.08292622704016414
5964330447261701376,253.40461598632,-44.47313724241,198.6768124292214,9621.79,7.957435,0.554751,He,0.988021,19.0078,0.27280000000000015,13.836,10.322,8.544,7.716,0.024,7.074,0.021,6.209,5.311,nir,45.04828021243299,51.57887063467249,9.561435060415114,0.6420002,0.2526343996816148,0.25372400076989576,1260.2538953733108,1231.8749814139276,1283.5347098147208,3.58098519624093,3.4916954426499833,3.682584486561483,16.810155484008646,4.0,0.001755634770894239,4.9594436171468356e+23,warm_ambiguous,0.1808758650829331,1.2598027371302223e-06,wise_quality,rejected,False,0.8702504991565301,0.10378834411015746,0.06618098399358147
2607058965581904512,346.34509343893,-9.18406334782,43.79395818552872,7220.17,8.07126,0.63567,H,0.975745,16.6359,0.679000000000002,,,,10.298,0.023,10.166,0.021,10.022,,gaia,46.904100503327356,51.395079450868955,0.7309461584507838,0.13199997,0.02337926254569315,0.014659154217108863,3150.0,3000.0,3000.0,20.2355073005001,,,4.094598413158565,3.0,0.0001485821274431352,1.3864613777057292e+23,companion,2.8316970286047387,5.1075262106459185e-05,wise_quality,rejected,False,0.15125282464735218,0.018038806329152213,0.011502505056500875
4515622241572552576,292.02050117654,19.51873942335,398.9308652810468,25289.95,7.986235,0.628088,H,0.99482,18.7464,0.005100000000002325,13.754,12.004,11.344,10.364,0.02,10.451,0.022,10.303,,nir,51.31674164135431,46.519369789641495,-0.9975128516354518,-0.08699989,0.02103012179132203,0.010738188259451031,3150.0,3000.0,3000.0,0.06224682853951259,0.05480406357137219,0.05626126655574669,80.48562973661683,3.0,0.0019983638167372316,2.5079781376016965e+25,companion,1.1792888085231337,7.394815674954813e-05,wise_quality,rejected,False,0.06938321227317304,0.008274822844520914,0.005276468402287242
4858755012858698368,57.38540966851,-35.06800896996,89.37109560026097,13322.83,7.739028,0.472467,He,0.999394,15.8926,-0.09350000000000058,,,,11.496,0.023,11.282,0.021,11.249,,gaia,46.45672336193564,51.02807179280176,1.816756843781143,0.2140007,0.007690033029424027,0.0052113210995351255,3150.0,3000.0,3000.0,1.6258719052451698,,,3.548139918916604,3.0,0.000639367535537003,2.567295105464381e+24,companion,2.6182958967644514,0.00021128641657963687,unresolved_companion,rejected,False,0.034017409832316874,0.004057005012734515,0.0025869627857699464
6039638438198068096,238.43237849985,-31.56007386192,40.865865968132795,3873.6,7.48526,0.334805,H,0.978776,18.3762,1.508300000000002,,,,11.645,0.022,11.387,0.021,11.268,,gaia,47.950944545355526,50.38744332450458,1.0059943305037125,0.25800037,0.006636398249924089,0.004683039933825551,2604.046519629182,2409.7353482754297,2846.363008229575,16.876750121806168,,,0.9683934629829309,3.0,8.916717566679019e-05,2.332047494529106e+22,companion,2.951719049592246,0.00021909557318844364,unresolved_companion,rejected,False,0.7830092501723404,0.09338372523438893,0.0595464440442235
4156782843592863360,278.17340256331,-7.55832455817,148.77188806403143,28695.3,7.771021,0.528795,H,0.997813,15.8189,-0.2778999999999989,13.207,11.243,10.346,9.539,0.022,9.48,0.021,,,nir,47.52629654473721,49.93240245287909,1.3290301280686794,0.059000015,0.04566974747303575,0.02683444768889337,3150.0,3000.0,3000.0,0.06734654073117673,0.05927345361865569,0.06113286106272442,16.419500517778943,2.0,0.0030244093859365466,5.744546980677904e+25,companion,2.342807057522514,2.251212157133864e-06,wise_quality,rejected,False,0.004212780533178897,0.0005024271931609647,0.00032037437646403
5092046675621447552,66.47983752808,-19.7586152563,368.3105594637398,10774.62,7.977035,0.589152,H,0.99142,19.8179,-0.022299999999997766,,,,13.061,0.024,12.329,0.022,11.183,,gaia,45.13552104486419,49.293692068247935,6.105508659115729,0.7319994,0.0018421904689005857,0.0020085549230731605,1156.4822127815576,1119.2772486721965,1182.2944547036188,4.748155123785106,,,1.7218551663363542,3.0,0.0026340812297590576,7.916743484552484e+23,warm_ambiguous,0.036090996267875944,0.0001932902271175596,wise_quality,rejected,False,1.873547198611104,0.22344412504737324,0.14247989203416525
