key,survey,band,wl_um,value_pct,err_pct,kind,instrument,epoch,source,vizier,verify,note
HD 172167,absil2013,K,2.2,1.26,0.27,meas,CHARA/FLUOR,2006,Absil+2006 A&A 452 237; Absil+2013 A&A 555 A104 Table 3,J/A+A/555/A104,table_not_reached,value recalled from the publication; confirm against the archive
HD 10700,absil2013,K,2.2,0.98,0.19,meas,CHARA/FLUOR,2007,Di Folco+2007 A&A 475 243; Absil+2013,J/A+A/555/A104,table_not_reached,value recalled from the publication; confirm against the archive
HD 177724,absil2013,K,2.2,1.69,0.27,meas,CHARA/FLUOR,2008,Absil+2008 A&A 487 1041; Absil+2013,J/A+A/555/A104,table_not_reached,value recalled from the publication; confirm against the archive
HD 102647,absil2013,K,2.2,0.94,0.26,meas,CHARA/FLUOR,2009,Akeson+2009 ApJ 691 1896; Absil+2013,J/A+A/555/A104,table_not_reached,value recalled from the publication; confirm against the archive
HD 187642,absil2013,K,2.2,3.07,0.24,meas,CHARA/FLUOR,2009,Absil+2013 A&A 555 A104,J/A+A/555/A104,table_not_reached,value recalled; rapid rotator (oblateness / gravity darkening debated as the origin)
HD 216956,absil2009,K,2.2,0.88,0.12,meas,VLTI/VINCI,2009,Absil+2009 ApJ 704 150,,no_archive_table,not a VizieR table; value recalled from the publication
HD 216956,mennesson2013,N8,8.5,0.35,0.10,meas,Keck Nuller,2013,Mennesson+2013 ApJ 763 119 (KIN 8-9 um null excess),,no_archive_table,value recalled from the publication; the archetypal K-bright / N-faint case
HD 109085,millangabet2011,N,10.5,4.9,0.1,meas,Keck Nuller,2011,Millan-Gabet+2011 ApJ 734 67,J/ApJ/734/67,table_not_reached,value recalled (order of magnitude); eta Crv's warm belt dominates
HD 7788,ertel2014,H,1.65,,,meas,VLTI/PIONIER,2014,Ertel+2014 A&A 570 A128,J/A+A/570/A128,membership,detection reported; value not transcribed
HD 39060,ertel2014,H,1.65,,,meas,VLTI/PIONIER,2014,Ertel+2014 A&A 570 A128,J/A+A/570/A128,membership,detection reported; value not transcribed
HD 172555,ertel2014,H,1.65,,,meas,VLTI/PIONIER,2014,Ertel+2014 A&A 570 A128,J/A+A/570/A128,membership,detection reported; value not transcribed
HD 2262,ertel2014,H,1.65,,,meas,VLTI/PIONIER,2014,Ertel+2014 A&A 570 A128,J/A+A/570/A128,membership,detection reported; value not transcribed
HD 210302,ertel2014,H,1.65,,,meas,VLTI/PIONIER,2014,Ertel+2014 A&A 570 A128,J/A+A/570/A128,membership,detection reported; value not transcribed
HD 219482,ertel2014,H,1.65,,,meas,VLTI/PIONIER,2014,Ertel+2014 A&A 570 A128,J/A+A/570/A128,membership,detection reported; value not transcribed
HD 104731,ertel2014,H,1.65,,,meas,VLTI/PIONIER,2014,Ertel+2014 A&A 570 A128,J/A+A/570/A128,membership,detection reported; value not transcribed
HD 28355,ertel2014,H,1.65,,,meas,VLTI/PIONIER,2014,Ertel+2014 A&A 570 A128,J/A+A/570/A128,membership,detection reported; value not transcribed
