table_name,description
iras.issa_images,IRAS Sky Survey Atlas (ISSA)
iras.iga_images,IRAS Galaxy Atlas (IGA)
iras.eiga_images,Extended IRAS Galaxy Atlas (EIGA)
iras.iris_images,Improved Reprocessing of the IRAS Survey (IRIS)
iras.miga_images,Mid-Infrared Galaxy Atlas (MIGA)
msx.msx_images,Midcourse Space Experiment (MSX) Images
akari.akari_images,AKARI Far-infrared All-Sky Survey Maps (AKARI)
spitzer.goals_irs_spec,GOALS IRS Spectra
spitzer.goals_spatprof_spec,GOALS Spatial Profiles
spitzer.goals_spitzer,Great Observatories All-sky LIRG Survey (GOALS) Images
herschel.goals_images,Herschel GOALS Images
bolocam.bolocam_images,The Bolocam Galactic Plane Survey (BOLOCAM_GPS) Images
bolocam.bolocam_images_v1,BOLOCAM GPS v1 Image
bolocam.bolocam_images_v2,BOLOCAM GPS v2 Image
bolocam.bolocam_sharc2,BOLOCAM GPS Sharc2 Image
bolocam.bolocam_lockman_hole,The Bolocam Lockman Hole Millimeter-Wave Galaxy Survey (BOLOCAM) Images
bolocam.planck_bolocam,The Bolocam Planck Ancillary Data
brava.bravacat,BRAVA Spectra
contributed.gpips_images,GPIPS Images
musyc.musyc_images,MUSYC Images
contributed.z0mgs_images,The z=0 Multiwavelength Galaxy Synthesis (z0MGS) Images
irts.irts_mirspsc,IRTS MIR Spectra
irts.irts_images,IRTS Images
blast.blast_images,Balloon-borne Large Aperture Submillimeter Telescope (BLAST) Images
dss.dss_images,Digitized Sky Survey (DSS) Data Collection
iso.sws_allspsc,ISO Short Wavelength Spectrometer (SWS) Atlas
caom.observation,CAOM Observation Table
caom.plane,CAOM Plane Table
caom.artifact,CAOM Artifact Table
caom.simulated_observation,CAOM Simulated Observation Table
caom.simulated_plane,CAOM Simulated Plane Table
caom.simulated_artifact,CAOM Simulated Artifact Table
ivoa.obscore,List of observations curated by IRSA in the IVOA ObsCore data model: Beta release
ivoa.simulated_obscore,List of observations curated by IRSA in the IVOA ObsCore data model: Beta release
heron.heron_images,Haloes and Environments of Nearby Galaxies (HERON) Images
sofia.observation,SOFIA CAOM Observation Table
sofia.plane,SOFIA Archive
sofia.artifact,SOFIA CAOM Artifact Table
sofia.ancillary_artifacts,SOFIA Ancillary Artifacts
sofia.observation_aors,SOFIA AOR to Observation Mapping Table
sofia.observation_missions,SOFIA MISSN-ID to Observation Mapping Table
sofia.proposals,SOFIA Proposal/Abstract Table
sofia.science_keyphrases,SOFIA Science Keywords Table
sofia.publications,SOFIA Publications Table
sofia.publication_proposals,SOFIA Publication/Proposal Mapping Table
sofia.proposals_with_publications,List of SOFIA proposals with associated publications
sofia.qa_comments,SOFIA Comments Table
caom.observation_irtf,IRTF CAOM Observation Table
caom.plane_irtf,IRTF Archive
caom.plane_artifact_mapping_irtf,IRTF CAOM Plane Artifact Mapping Table
caom.artifact_irtf,IRTF CAOM Artifact Table
irtf.mearth_spectra,IRTF MEarth Spectra
p60.grbcam_images,P60 GRBCam Processed Images
texes.observation_texes,TEXES CAOM Observation Table
texes.plane_texes,TEXES Archive
texes.artifact_texes,TEXES CAOM Artifact Table
planck_toi_030,The Planck Public Data Release 2 Time Ordered Information (LFI 30 GHz)
planck_toi_044,The Planck Public Data Release 2 Time Ordered Information (LFI 44 GHz)
planck_toi_070,The Planck Public Data Release 2 Time Ordered Information (LFI 70 GHz)
